,0
AFG,180445951.0628364
AGO,-468507.296356671
ALB,156600.25079964582
ARE,148953.7857237669
ARG,-103073.85587796624
ARM,5792.343601942382
AUS,-37674.735147590545
AUT,9334.661941574737
AZE,19001.27918988628
BDI,10250059.330453323
BEL,7688.802055124814
BEN,-45969.17931040284
BFA,-16769.524932077446
BGD,13087877.520884875
BGR,96730.54724291217
BHR,35167.09627391728
BHS,-890.3643817635364
BIH,60049.62405744092
BLR,44929.68562612032
BLZ,-1843.3177228786515
BOL,-41068.48297626083
BRA,-214067.2848448706
BRB,-436.9529996418503
BRN,-1858.8348711112185
BTN,99508.09303626198
BWA,-5557.9311914344025
CAF,252810.20020448093
CAN,-53878.87748825055
CHE,2707.119740024063
CHL,-37363.34084434617
CHN,5397930.842014948
CIV,51600.694249012944
CMR,-32904.020374215346
COD,728896.1155496904
COG,9856.269430402386
COL,-185081.57246507402
COM,-31360.056291160385
CRI,-18037.787938796027
CYP,6248.502942936464
CZE,86924.91219811338
DEU,77249.69533630408
DJI,-5884.643443877173
DNK,-3219.3726527894096
DZA,62212.805922627
ECU,-5423.407908771141
EGY,2184201.515854766
ESP,51143.00820551026
EST,3665.6261454847804
ETH,-1738687.7409950637
FIN,3307.9919373652506
FJI,-19344.49348059344
FRA,33054.05692430627
GAB,-859.3233460018197
GBR,58431.10978336749
GEO,19341.743798108655
GHA,41939.56396242402
GIN,7956.782739245403
GMB,-16166.815238946761
GNB,4433.958413726045
GNQ,-1013.3848200523975
GRC,173904.47786954316
GTM,57624.289208907685
GUY,-844.3901692113732
HND,59565.65100647924
HRV,57525.126350772975
HTI,-203800.32826152153
HUN,66026.03450988322
IDN,-705073.7721870808
IND,127463239.49111626
IRL,821.9266070329356
IRN,1368576.5019684196
IRQ,1199481.154353918
ISL,-130.95711236618584
ISR,4652.131150574175
ITA,135301.8594229015
JAM,-16603.244005259945
JOR,677750.2027483153
JPN,85050.85523102882
KAZ,-53620.53186750025
KEN,-604803.9391913516
KGZ,201393.88545086383
KHM,225728.85697483926
KOR,99343.0628533321
KWT,4151.535435283383
LAO,620988.97987068
LBN,144075.2458963456
LBR,595159.4968619226
LBY,49355.2388057499
LCA,-840.0437071779928
LKA,352497.51306047715
LSO,259375.06260662884
LTU,17010.35416303569
LUX,106.02140236821526
LVA,18640.81753378141
MAR,281893.4509778152
MDA,11180.437743413328
MDG,12159740.676643074
MDV,-526.7651134984403
MEX,195974.34535095957
MKD,96224.5681266786
MLI,-388498.06015174155
MLT,-33.79315261082165
MMR,929140.7363118643
MNE,14042.24550731705
MNG,-7002.690184018249
MOZ,-957594.010021073
MRT,-35923.245892194245
MUS,3530.8335015726134
MWI,-811956.5532738623
MYS,25884.58427753768
NER,31323.461610099504
NGA,-974275.0411207539
NIC,-2204.4251640123975
NLD,8080.619652483775
NOR,-905.1183506865952
NPL,22230810.540838648
NZL,-6784.391372021403
OMN,3988.612067083078
PAK,21376008.782795712
PAN,-9288.939400491337
PER,-133589.60028586068
PHL,561510.2481415886
PNG,-117380.84914124323
POL,214774.65056315955
PRT,23629.488259668236
PRY,-45270.89868868433
QAT,473.5735247680288
ROU,284968.3809699308
RUS,-118470.91434293418
RWA,64425.20149936873
SAU,9802.58182790647
SDN,-552673.6692646657
SEN,-144184.21761768262
SGP,-4511.581081038418
SLB,-39366.31020063325
SLE,209831.74260317226
SLV,5365.242290560213
SOM,-295077.30698715436
SRB,900396.8208592451
STP,-583.396838076954
SUR,-3035.191927671797
SVK,38237.81818626586
SVN,3985.5857660451206
SWE,3920.6625483049256
TCD,-177957.8053180676
THA,110138.01967981886
TJK,752444.70585015
TKM,-7761.574595992479
TLS,79723.65900354265
TON,-2427.312665240519
TTO,-2202.376359034396
TUN,156907.2840214025
TUR,629153.8011150284
TZA,-759797.3936307377
UGA,3296950.592198148
UKR,1324964.207500058
URY,-55.95765613222973
USA,-172693.3416483905
UZB,1269793.7462187873
VCT,-491.72096346979396
VNM,8108662.183367402
VUT,-7183.413947441262
WSM,-3760.8560432825534
ZAF,-377703.61165279674
ZMB,-540125.9728801909
ZWE,-96221.26823521648
