AGE,COPD_theta,COPD_se,COPD_aerfa,COPD_u,COPD_v,IHD_theta,IHD_se,IHD_aerfa,IHD_u,IHD_v,LC_theta,LC_se,LC_aerfa,LC_u,LC_v,LRI_theta,LRI_se,LRI_aerfa,LRI_u,LRI_v,Stroke_theta,Stroke_se,Stroke_aerfa,Stroke_u,Stroke_v
0-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
5-9,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
10-14,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
15-19,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
20-24,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
25-29,0.251,0.06762,6.5,2.5,32,0.507,0.02458,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.4513,0.11919,6.2,16.7,23.7
30-34,0.251,0.06762,6.5,2.5,32,0.4762,0.02309,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.424,0.11197,6.2,16.7,23.7
35-39,0.251,0.06762,6.5,2.5,32,0.4455,0.0216,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.3966,0.10475,6.2,16.7,23.7
40-44,0.251,0.06762,6.5,2.5,32,0.4148,0.02011,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.3693,0.09752,6.2,16.7,23.7
45-49,0.251,0.06762,6.5,2.5,32,0.3841,0.01862,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.3419,0.0903,6.2,16.7,23.7
50-54,0.251,0.06762,6.5,2.5,32,0.3533,0.01713,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.3146,0.08307,6.2,16.7,23.7
55-59,0.251,0.06762,6.5,2.5,32,0.3226,0.01564,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.2872,0.07585,6.2,16.7,23.7
60-64,0.251,0.06762,6.5,2.5,32,0.2919,0.01415,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.2598,0.06863,6.2,16.7,23.7
65-69,0.251,0.06762,6.5,2.5,32,0.2612,0.01266,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.2325,0.0619,6.2,16.7,23.7
70-74,0.251,0.06762,6.5,2.5,32,0.2304,0.01117,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.2051,0.05418,6.2,16.7,23.7
75-79,0.251,0.06762,6.5,2.5,32,0.1997,0.0968,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.1778,0.04695,6.2,16.7,23.7
80-84,0.251,0.06762,6.5,2.5,32,0.1536,0.00745,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.1368,0.03611,6.2,16.7,23.7
85-89,0.251,0.06762,6.5,2.5,32,0.1536,0.00745,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.1368,0.03611,6.2,16.7,23.7
90-94,0.251,0.06762,6.5,2.5,32,0.1536,0.00745,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.1368,0.03611,6.2,16.7,23.7
95 plus,0.251,0.06762,6.5,2.5,32,0.1536,0.00745,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.1368,0.03611,6.2,16.7,23.7
