scenario,account,region,2020,2030,2050,2100,Units
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Africa_Eastern,187112,321356,1001190,8902450,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Africa_Northern,515797,785256,1596440,4585280,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Africa_Southern,172716,265758,683695,5645680,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Africa_Western,565228,943443,2959670,2.50E+07,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Argentina,299468,412788,658464,1301070,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Australia_NZ,1153320,1475870,2197820,4516130,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Brazil,1594440,2048030,3044300,5592910,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Canada,1303830,1559890,2218360,4387490,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Central America and Caribbean,300444,417691,774523,2481830,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Central Asia,313001,478874,812979,1593500,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,China,8275130,1.33E+07,2.02E+07,2.35E+07,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Colombia,270036,377638,674684,1822140,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,EU-12,1152440,1478050,2066070,3372820,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,EU-15,1.18E+07,1.37E+07,1.84E+07,3.45E+07,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Europe_Eastern,140321,190478,308158,645733,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Europe_Non_EU,924205,1259720,2031840,4151240,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,European Free Trade Association,801835,941537,1294470,2664360,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,India,2165300,3993770,9009270,2.68E+07,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Indonesia,837337,1396820,2906020,6875050,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Japan,4147900,4479100,5000670,6388300,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Mexico,895798,1184840,1961370,4985320,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Middle East,1845010,2509610,4363150,1.07E+07,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Pakistan,171875,253050,648268,3486100,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Russia,1179500,1499980,2127860,3504990,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,South Africa,291286,385119,652830,1395430,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,South America_Northern,81659,93584,160673,389868,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,South America_Southern,481164,677449,1194950,2967350,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,South Asia,244604,421441,981974,4593920,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,South Korea,961472,1257690,1692610,2066440,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Southeast Asia,1298860,1993690,3763540,1.01E+07,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,Taiwan,378960,461735,571564,726485,million 1990$
"s01_global,date=2024-3-7T20:50:03+18:00",GDP,USA,1.23E+07,1.47E+07,1.92E+07,2.90E+07,million 1990$
